base_date,emd_cd,temp,rain
2019-11-30,2019-11-30,50130540.0,429.9,31.5
2019-12-31,2019-12-31,50130540.0,309.5,99.5
2019-01-31,2019-01-31,50130550.0,106.89999999999998,24.5
2019-02-28,2019-02-28,50130550.0,142.7,132.5
2019-03-31,2019-03-31,50130550.0,227.80000000000004,140.0
2019-04-30,2019-04-30,50130550.0,378.59999999999997,128.0
2019-05-31,2019-05-31,50130550.0,531.4,450.0
2019-06-30,2019-06-30,50130550.0,560.6999999999998,309.0
2019-07-31,2019-07-31,50130550.0,650.4,886.5
2019-08-31,2019-08-31,50130550.0,729.2,343.0
2019-09-30,2019-09-30,50130550.0,600.2,1055.0
2019-10-31,2019-10-31,50130550.0,457.00000000000017,211.0
2019-11-30,2019-11-30,50130550.0,333.1,31.0
2019-12-31,2019-12-31,50130550.0,197.60000000000002,155.0
2019-01-31,2019-01-31,50130560.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130560.0,239.2,46.0
2019-03-31,2019-03-31,50130560.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130560.0,425.6,76.5
2019-05-31,2019-05-31,50130560.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130560.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130560.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130560.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130560.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130560.0,580.8999999999999,132.5
2019-11-30,2019-11-30,50130560.0,429.9,31.5
2019-12-31,2019-12-31,50130560.0,309.5,99.5
2019-01-31,2019-01-31,50130570.0,219.40000000000006,22.5
2019-02-28,2019-02-28,50130570.0,239.2,46.0
2019-03-31,2019-03-31,50130570.0,337.0000000000001,62.5
2019-04-30,2019-04-30,50130570.0,425.6,76.5
2019-05-31,2019-05-31,50130570.0,592.1999999999999,484.5
2019-06-30,2019-06-30,50130570.0,615.4999999999999,210.5
2019-07-31,2019-07-31,50130570.0,720.3000000000001,468.5
2019-08-31,2019-08-31,50130570.0,796.5000000000002,343.5
2019-09-30,2019-09-30,50130570.0,690.3000000000001,423.0
2019-10-31,2019-10-31,50130570.0,580.8999999999999,132.5
2019-11-30,2019-11-30,50130570.0,429.9,31.5
2019-12-31,2019-12-31,50130570.0,309.5,99.5
